sim39,sim40,sim41
23520352_5,3676325_2,23003001_1
7572587_4,22128264_5,8868239_4
918319_1,16794207_3,14402258_4
21896877_5,22196114_1,15900843_5
7362543_3,9539564_4,9713049_1
19738589_5,8006499_4,9264453_3
10422111_5,17677747_5,502142_3
5807619_4,3919400_2,12994607_1
11016893_4,9800230_1,22737046_3
6814164_3,19817515_3,18068005_1
5994190_3,10038269_2,15192375_5
11671795_2,2051333_4,10423967_3
1925178_1,16586567_1,1640307_2
8753985_5,14587759_1,14252718_3
24967902_1,4830332_1,9052531_4
18602334_3,7253399_4,15297503_5
24286469_1,11216042_1,4090027_2
22521177_3,178782_3,16118939_4
8089296_4,10162589_5,8309228_1
10752086_4,17933846_3,13211344_1
2830014_2,3511357_4,1804381_1
10725752_3,20290002_5,4578737_3
12741831_3,7424525_1,12589092_2
26020580_5,24968428_1,11551327_2
13405794_1,12722399_2,10989711_4
8873048_3,7339081_5,7333513_2
11460796_3,18050008_1,26763500_5
11684491_3,16686921_1,20953002_5
19701434_5,11311816_1,9690502_2
10695721_3,8143902_4,5881530_2
6861067_3,8820374_5,21996665_1
22571564_5,2766355_5,6332328_2
17997534_5,14877971_3,5996396_2
18596168_5,12211260_4,17424354_3
14547303_5,10522862_2,19268790_1
21850100_5,7470856_4,17412023_2
6141914_4,7904240_1,10329449_3
3847467_3,7994527_5,16877995_3
9925402_5,9601233_4,12723945_3
21107554_1,12611120_1,20504185_1
24053282_5,8757427_3,8437959_1
14663392_3,1200681_3,9919992_5
5943604_5,3153501_3,17362929_1
3274080_4,19364385_1,16866465_1
18963952_3,3943636_5,3787935_5
5526044_4,8025549_4,9237109_3
23128311_1,3579550_2,4711782_5
28074325_1,18434590_5,9982417_3
5354644_2,5044257_5,3080550_3
8569931_1,18215005_5,4258989_4
4597529_2,12378479_3,16481399_2
10173735_4,16353075_1,17140892_3
5100963_5,4759699_2,1850315_4
14808812_5,11259478_1,6385546_2
17591433_4,5561060_3,19759271_5
25590999_5,6711460_3,12884011_4
14527158_3,15954755_1,21727481_3
5103040_2,9920379_3,2331495_3
2151728_1,16883905_1,14678406_3
17353712_5,5021426_4,15659032_1
24562467_5,15681381_2,19686238_3
27871877_1,16112429_5,19583867_2
3584467_1,18394378_3,12167474_2
4787786_4,16060379_2,13235080_2
18255564_3,3865850_2,5807619_4
10060506_5,19390708_5,5579143_4
2831180_2,15563677_2,24907417_1
11866867_2,7495273_5,18490424_5
31091_2,11460796_3,22178137_3
2579824_4,17126460_5,11596563_5
10665251_3,26935804_1,2718967_3
18962795_1,14039777_5,22096437_1
6650390_4,15642066_5,17830074_4
14357651_3,12768085_3,6193512_2
19500980_3,21364085_3,9353483_4
5637810_3,3156469_2,3314262_2
17068619_3,9275982_5,10244336_3
3666310_2,5013132_4,28684386_1
26408166_5,12979944_5,12891678_3
20540692_1,3212201_1,3399177_4
14589326_3,5893974_2,4954850_5
3676325_2,645073_1,12413391_4
3591219_4,7155260_2,25913523_1
21183770_5,6720312_4,13073182_4
8226393_1,4902315_2,11896949_4
15071858_3,18596168_5,7152005_5
19829603_1,23158458_1,13940781_2
6249371_3,9656141_4,21836373_5
6514480_5,4302870_4,1265300_3
6741681_1,16368313_3,3810307_1
16627069_1,961375_4,19599872_1
8017778_3,7333513_2,11424600_1
24695862_1,15285230_5,4063902_1
6021552_2,8389518_5,5836216_2
16617563_5,13871943_5,7937367_4
5187866_1,862603_2,24341912_1
20953049_5,17007298_3,5883645_2
8791234_3,23846911_1,7039101_5
13139438_1,8898990_5,8360192_2
16219417_3,11312846_5,10342298_2
6409903_3,12374171_1,11861919_1
10525311_3,16670304_2,18240209_3
5713083_2,4194512_1,21211829_1
6877762_2,957321_3,10390212_2
10435864_2,6234104_4,17449715_4
23967234_5,21621781_1,21184068_1
6941060_3,15066792_4,17109883_4
22230882_3,11261395_2,17130255_3
20342797_3,7643576_1,19276195_1
10803954_2,5662373_1,11074237_3
6807092_4,7727474_1,21953048_3
285609_4,12263784_3,20303866_3
6352336_3,17293366_1,785448_1
15813210_5,11325887_2,10140681_2
9560424_4,24629969_1,11541173_5
9370765_4,11517821_2,5637810_3
5985725_3,11705249_4,5859854_2
6485054_2,10525576_4,6723053_5
3672972_5,3116868_2,11979859_3
2419289_4,23016151_3,8105518_4
5849440_4,16385724_5,14268720_4
6730946_4,4855016_2,16887834_5
24969790_5,18463215_2,13616114_5
8385096_4,13016340_2,15624752_5
20779807_1,11071306_3,23521872_5
12631531_2,3393285_1,8107907_2
10624359_1,19944680_3,25436381_5
22077808_1,5222259_2,12458060_2
22278720_1,6964207_1,7014251_2
9550270_3,7809949_1,18724910_3
2446013_1,22604242_1,2492677_1
11427965_3,15723296_1,12434873_2
11088886_1,30142899_1,21279880_3
2226766_2,13777825_2,11463071_5
2190332_2,14697454_3,20379636_3
5935079_4,8892361_4,10959114_5
6131816_2,4343683_2,16748919_2
15924153_5,12574568_5,5755543_5
593948_2,26497539_5,1936262_2
26567630_1,18797912_2,14598192_3
14908719_5,18149929_1,2389672_1
7827959_1,18107741_2,13462198_4
7975619_4,13908282_5,7512383_5
19737631_3,8733909_5,16213249_4
5237861_2,924959_3,6978894_4
24163646_1,12830341_3,8137899_1
5746874_5,2564591_3,14468921_3
7262299_4,2190783_4,14281211_3
5288106_2,18487211_1,7413351_4
5956525_5,12968607_1,6564373_3
17365632_1,13619364_3,8133395_1
16394928_4,4196659_2,17394377_4
14360050_3,6230023_5,10060059_2
4254907_4,8547106_3,7601194_4
8210830_1,10812078_3,9343946_5
7749295_5,2699906_3,5500992_2
17182379_5,23162665_1,1478210_1
635520_3,627879_5,5127858_3
8044995_5,11668845_2,6888664_5
12710933_2,27457546_1,1613462_1
24167496_5,14892854_5,8162026_1
11748497_4,1909183_2,1867318_3
13853693_2,15822773_3,17723462_5
17281543_5,5742888_4,4993188_4
10461229_5,23856391_1,11779373_3
11783854_1,5208069_4,16079296_4
4498203_2,26515680_5,9522055_5
17813166_4,8604836_4,6903468_2
1620561_2,16755508_3,22204268_3
17660920_1,17575484_2,2506118_4
1763426_2,12698446_3,18392112_5
12777372_3,8547876_3,29895368_1
16693299_3,24969790_5,349867_5
5554193_2,25332338_5,23404771_1
2138620_3,677311_2,9905324_5
3759079_2,5711630_4,20504894_1
15912050_1,28678352_1,29464650_1
2413073_4,12749673_4,13187670_2
7945159_1,15848612_3,10451967_4
16427699_5,11445270_5,4612717_4
2321868_4,10285129_5,16078843_1
17393504_3,8522881_1,3629821_3
9753621_5,7602843_4,25155685_5
26663624_5,23062948_5,6047341_5
17659060_1,12579735_2,5467209_1
10877989_4,3594913_2,24847051_1
17588443_4,3156880_2,2775801_4
5996627_5,22785288_5,16184049_5
824984_5,9190066_4,9779137_2
8122859_2,5956920_2,8850355_4
21988852_3,6364794_4,19390708_5
12869417_3,6225462_5,13817476_5
6648719_2,10374084_1,822539_5
12227174_1,13573862_1,16656644_5
18156434_2,16899731_1,22004099_1
5389277_2,12134834_4,5762849_1
4880835_4,1189338_5,3716355_1
18768488_5,9141159_2,5618087_2
7730610_4,10723735_1,1096065_2
14337295_3,23084576_5,14555477_4
14734242_5,13637640_3,23788431_1
23901230_5,18286188_2,5517830_2
24162544_5,23996819_1,9307939_2
13807251_5,9257019_1,10872296_4
20728458_3,13252166_3,14805933_3
4076750_2,8187620_1,20808942_3
11348438_3,13245289_1,3981348_2
7347452_5,5733809_1,15604585_1
13942456_5,8543662_3,16388747_1
14071352_1,26091259_1,12798273_2
12662026_5,9529299_5,12192756_2
5083104_2,10531010_3,15522081_2
11484243_1,13827595_2,17293366_1
10814757_2,1893550_1,7777979_3
18021868_2,10504509_2,1552442_4
10742760_2,24730836_1,16763884_4
16339642_1,17275704_3,18700283_3
12196906_2,13747959_4,13051940_3
16091103_1,9359707_4,10403149_2
12579735_2,13281543_1,5758047_4
